name,type,default value,mandatory,description,formatter,constraints,width,spaces,fixformat start,fixformat end
COUNTRY_CD,VARCHAR(4),,false,,,,,,,
REGION_CD,VARCHAR(6),,false,,,,,,,
FACILITY_ID,VARCHAR(20),,false,,,,,,,
UNIT_ID,VARCHAR(20),,false,,,,,,,
REL_POINT_ID,VARCHAR(20),,false,,,,,,,
PROCESS_ID,VARCHAR(20),,false,,,,,,,
TRIBAL_CODE,VARCHAR(3),,false,,,,,,,
CENSUS_TRACT_CD,VARCHAR(20),,false,,,,,,,
SHAPE_ID,VARCHAR(20),,false,,,,,,,
EMIS_TYPE,VARCHAR(3),,false,,,,,,,
SCC,VARCHAR(12),,false,,,,,,,
POLL,VARCHAR(20),,false,,,,,,,
REG_CODE,VARCHAR(6),,false,,,,,,,
SIC,VARCHAR(4),,false,,,,,,,
NAICS,VARCHAR(6),,false,,,,,,,
COMPLIANCE_DATE,timestamp,,false,,,,,,,
ANN_CAP,double precision,,false,,,,,,,
JAN_CAP,double precision,,false,,,,,,,
FEB_CAP,double precision,,false,,,,,,,
MAR_CAP,double precision,,false,,,,,,,
APR_CAP,double precision,,false,,,,,,,
MAY_CAP,double precision,,false,,,,,,,
JUN_CAP,double precision,,false,,,,,,,
JUL_CAP,double precision,,false,,,,,,,
AUG_CAP,double precision,,false,,,,,,,
SEP_CAP,double precision,,false,,,,,,,
OCT_CAP,double precision,,false,,,,,,,
NOV_CAP,double precision,,false,,,,,,,
DEC_CAP,double precision,,false,,,,,,,
ANN_REPLACEMENT,double precision,,false,,,,,,,
JAN_REPLACEMENT,double precision,,false,,,,,,,
FEB_REPLACEMENT,double precision,,false,,,,,,,
MAR_REPLACEMENT,double precision,,false,,,,,,,
APR_REPLACEMENT,double precision,,false,,,,,,,
MAY_REPLACEMENT,double precision,,false,,,,,,,
JUN_REPLACEMENT,double precision,,false,,,,,,,
JUL_REPLACEMENT,double precision,,false,,,,,,,
AUG_REPLACEMENT,double precision,,false,,,,,,,
SEP_REPLACEMENT,double precision,,false,,,,,,,
OCT_REPLACEMENT,double precision,,false,,,,,,,
NOV_REPLACEMENT,double precision,,false,,,,,,,
DEC_REPLACEMENT,double precision,,false,,,,,,,
COMMENT,VARCHAR(256),,false,,,,,,,
